,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type
223,DC-DIST7-1,Vlan15,V10K-MGMT,down,routed,auto,auto,--
224,DC-DIST7-1,Vlan16,--,connected,routed,auto,auto,--
225,DC-DIST7-1,Vlan17,--,connected,routed,auto,auto,--
226,DC-DIST7-1,Vlan70,Lot-Prodtech,connected,routed,auto,auto,--
227,DC-DIST7-1,Vlan99,--,connected,routed,auto,auto,--
228,DC-DIST7-1,Vlan178,PARAMOUNT-ISIS,connected,routed,auto,auto,--
229,DC-DIST7-1,Vlan199,PPC Network management VLAN,connected,routed,auto,auto,--
230,DC-DIST7-1,Vlan200,--,connected,routed,auto,auto,--
231,DC-DIST7-1,Vlan201,WIRELESS-ADMIN,down,routed,auto,auto,--
232,DC-DIST7-1,Vlan205,--,connected,routed,auto,auto,--
233,DC-DIST7-1,Vlan206,--,connected,routed,auto,auto,--
234,DC-DIST7-1,Vlan207,--,connected,routed,auto,auto,--
235,DC-DIST7-1,Vlan232,CALAX04-EM1CL-01A/B,connected,routed,auto,auto,--
236,DC-DIST7-1,Vlan338,MOB-SW5,down,routed,auto,auto,--
237,DC-DIST7-1,Vlan361,VSI-Data-Management,down,routed,auto,auto,--
238,DC-DIST7-1,Vlan362,VSI-NFS-Storage,down,routed,auto,auto,--
239,DC-DIST7-1,Vlan363,VSI-Zerto,down,routed,auto,auto,--
240,DC-DIST7-1,Vlan364,VSI-vMotion,down,routed,auto,auto,--
241,DC-DIST7-1,Vlan365,UCS-KVM-ManagementVSI,down,routed,auto,auto,--
242,DC-DIST7-1,Vlan366,DRVSI,down,routed,auto,auto,--
243,DC-DIST7-1,Vlan411,Clear Pass Vlan411,connected,routed,auto,auto,--
244,DC-DIST7-1,Vlan412,Clear Pass Vlan412,connected,routed,auto,auto,--
245,DC-DIST7-1,Vlan470,*** Facility-Automation ***,connected,routed,auto,auto,--
246,DC-DIST7-1,Vlan471,*** Facility-Automation ***,connected,routed,auto,auto,--
247,DC-DIST7-1,Vlan500,NET-MGT,connected,routed,auto,auto,--
248,DC-DIST7-1,Vlan516,Management,connected,routed,auto,auto,--
249,DC-DIST7-1,Vlan518,NFS Storage,connected,routed,auto,auto,--
250,DC-DIST7-1,Vlan520,Zerto,connected,routed,auto,auto,--
251,DC-DIST7-1,Vlan522,vMotion,connected,routed,auto,auto,--
252,DC-DIST7-1,Vlan524,UCS/KVM Management,connected,routed,auto,auto,--
253,DC-DIST7-1,Vlan526,ZOLTAN-CAMERAS,connected,routed,auto,auto,--
254,DC-DIST7-1,Vlan600,Netscaler_internal,connected,routed,auto,auto,--
255,DC-DIST7-1,Vlan682,PROCO-24 - WWTO subnet,down,routed,auto,auto,--
256,DC-DIST7-1,Vlan705,CSS INTERNAL,connected,routed,auto,auto,--
257,DC-DIST7-1,Vlan711,"PPC-Farm1, Segment 1",connected,routed,auto,auto,--
