,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type,CDP_local_int,CDP_remote_device,CDP_remote_int,CDP_remote_platform,CDP_remote_capabilities,CDP_remote_ip,LLDP_local_port_id,LLDP_remote_chassis_id,LLDP_remote_port_id,LLDP_remote_port_description,LLDP_remote_system_name,LLDP_remote_system_description,LLDP_remote_system_capabilities,LLDP_remote_system_address,LLDP_remote_vlan_id
139,DC-ACS5-2,Ethernet101/1/20,Screenlife CVA2 e1,notconnect,911,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
140,DC-ACS5-2,Ethernet101/1/21,DCX8518LAX01 mgmt standby,connected,811,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
141,DC-ACS5-2,Ethernet101/1/22,Port-channel to SAPHVSQL Data,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
142,DC-ACS5-2,Ethernet101/1/23,Port-channel to SAPHVSQL Data,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
143,DC-ACS5-2,Ethernet101/1/24,Port-channel to SAPHVSQL Data,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
144,DC-ACS5-2,Ethernet101/1/25,Port-channel to SAPHVSQL Data,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
145,DC-ACS5-2,Ethernet101/1/26,Port-channel to SAPHVSQL Data,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
146,DC-ACS5-2,Ethernet101/1/27,Port-channel to SAPHVSQL Data,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
147,DC-ACS5-2,Ethernet101/1/28,Port-channel to SAPHVSQL Data,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
148,DC-ACS5-2,Ethernet101/1/29,Port-channel to SAPHVSQL Data,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
149,DC-ACS5-2,Ethernet101/1/30,Screenlife TapeLibrary e1,notconnect,911,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
150,DC-ACS5-2,Ethernet101/1/31,Screenlife CVA1 e1,notconnect,911,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
151,DC-ACS5-2,Ethernet101/1/32,Screenlife IT-Commvault e1,notconnect,911,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
152,DC-ACS5-2,Ethernet101/1/33,Port-channel to MSSQL07 Backup/WAN,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
153,DC-ACS5-2,Ethernet101/1/34,Port-channel to MSSQL07 Backup/WAN,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
154,DC-ACS5-2,Ethernet101/1/35,Port-channel to MSSQL07 Backup/WAN,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
155,DC-ACS5-2,Ethernet101/1/36,Port-channel to MSSQL07 Backup/WAN,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
