,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type
200,DC-ACS5-2,Ethernet106/1/47,--,connected,881,full,1000,--
201,DC-ACS5-2,Ethernet106/1/48,--,notconnect,1,auto,auto,--
202,DC-ACS5-2,Ethernet107/1/1,INC06616871,connected,3165,full,1000,--
203,DC-ACS5-2,Ethernet107/1/2,INC06616871,connected,3165,full,1000,--
204,DC-ACS5-2,Ethernet107/1/3,--,notconnect,500,auto,auto,--
205,DC-ACS5-2,Ethernet107/1/4,"""Half Shell"" ISIS server",notconnect,725,auto,auto,--
206,DC-ACS5-2,Ethernet107/1/5,--,notconnect,500,auto,auto,--
207,DC-ACS5-2,Ethernet107/1/6,--,notconnect,500,auto,auto,--
208,DC-ACS5-2,Ethernet107/1/7,--,connected,1,full,1000,--
209,DC-ACS5-2,Ethernet107/1/8,msalsp64 port 1,connected,898,full,1000,--
210,DC-ACS5-2,Ethernet107/1/9,msalsp64 port 2,connected,899,full,1000,--
211,DC-ACS5-2,Ethernet107/1/10,msalsp65 port 1,connected,898,full,1000,--
212,DC-ACS5-2,Ethernet107/1/11,msalsp65 port 2,connected,899,full,1000,--
213,DC-ACS5-2,Ethernet107/1/12,msalsp66 port 1,connected,898,full,1000,--
214,DC-ACS5-2,Ethernet107/1/13,--,notconnect,883,auto,auto,--
215,DC-ACS5-2,Ethernet107/1/14,msalsp66 port 2,connected,899,full,1000,--
216,DC-ACS5-2,Ethernet107/1/15,msalsp67 port 1,connected,898,full,1000,--
217,DC-ACS5-2,Ethernet107/1/16,msalsp67 port 2,connected,899,full,1000,--
218,DC-ACS5-2,Ethernet107/1/17,***CPSG-PRD4 websence***Please Do Not Modify Ports***,connected,850,full,1000,--
219,DC-ACS5-2,Ethernet107/1/18,***CPS-MON-PARA webse***Please Do Not Modify Ports***,connected,850,full,1000,--
220,DC-ACS5-2,Ethernet107/1/19,***nxldpp01 NIC1***Please Do Not Modify Ports***,connected,850,full,1000,--
221,DC-ACS5-2,Ethernet107/1/20,***isilonnode1 nic1***Please Do Not Modify Ports***,connected,850,full,1000,--
222,DC-ACS5-2,Ethernet107/1/21,***isilonnode1 nic2***Please Do Not Modify Ports***,connected,850,full,1000,--
223,DC-ACS5-2,Ethernet107/1/22,***isilonnode3 nic2***Please Do Not Modify Ports***,connected,850,full,1000,--
224,DC-ACS5-2,Ethernet107/1/23,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
225,DC-ACS5-2,Ethernet107/1/24,msalsp68 port 1,connected,898,full,1000,--
226,DC-ACS5-2,Ethernet107/1/25,INC03941446,connected,860,full,1000,--
227,DC-ACS5-2,Ethernet107/1/26,INC03941446,notconnect,860,auto,auto,--
228,DC-ACS5-2,Ethernet107/1/27,INC03941446,connected,860,full,1000,--
229,DC-ACS5-2,Ethernet107/1/28,INC03941446,connected,860,full,1000,--
230,DC-ACS5-2,Ethernet107/1/29,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
231,DC-ACS5-2,Ethernet107/1/30,INC03941446,connected,860,full,1000,--
232,DC-ACS5-2,Ethernet107/1/31,--,connected,899,full,1000,--
233,DC-ACS5-2,Ethernet107/1/32,--,notconnect,500,auto,auto,--
234,DC-ACS5-2,Ethernet107/1/33,***msENCp01 NIC1***Please Do Not Modify Ports***,connected,500,full,1000,--
235,DC-ACS5-2,Ethernet107/1/34,***MediuVu***Please Do Not Modify Ports***,connected,500,full,1000,--
236,DC-ACS5-2,Ethernet107/1/35,--,connected,500,full,1000,--
237,DC-ACS5-2,Ethernet107/1/36,***msMONp05***Please Do Not Modify Ports***,connected,500,full,1000,--
238,DC-ACS5-2,Ethernet107/1/37,***JUNKMAN (NIC1)***Please Do Not Modify Ports***,notconnect,884,auto,auto,--
239,DC-ACS5-2,Ethernet107/1/38,***nxINFp05***Please Do Not Modify Ports***,notconnect,884,auto,auto,--
240,DC-ACS5-2,Ethernet107/1/39,--,notconnect,1,auto,auto,--
241,DC-ACS5-2,Ethernet107/1/40,msalsp68 port 2,connected,899,full,1000,--
242,DC-ACS5-2,Ethernet107/1/41,***nxDAMq02***Please Do Not Modify Ports***,notconnect,898,auto,auto,--
243,DC-ACS5-2,Ethernet107/1/42,***emRCPp01***Please Do Not Modify Ports***,notconnect,898,auto,auto,--
244,DC-ACS5-2,Ethernet107/1/43,***emRCPp02***Please Do Not Modify Ports***,notconnect,898,auto,auto,--
245,DC-ACS5-2,Ethernet107/1/44,*** For single-homed servers ***,notconnect,879,auto,auto,--
246,DC-ACS5-2,Ethernet107/1/45,***nxDAMp02***Please Do Not Modify Ports***,notconnect,884,auto,auto,--
247,DC-ACS5-2,Ethernet107/1/46,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
248,DC-ACS5-2,Ethernet107/1/47,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
249,DC-ACS5-2,Ethernet107/1/48,***MediuVu***Please Do Not Modify Ports***,notconnect,884,auto,auto,--
250,DC-ACS5-2,Ethernet122/1/1,Isilon Access in Editorial,connected,899,full,1000,--
251,DC-ACS5-2,Ethernet122/1/2,Isilon Access in Editorial,connected,899,full,1000,--
252,DC-ACS5-2,Ethernet122/1/3,Isilon Access in Editorial,connected,899,full,1000,--
253,DC-ACS5-2,Ethernet122/1/4,Isilon Access in Editorial,connected,899,full,1000,--
254,DC-ACS5-2,Ethernet122/1/5,Isilon Access in Editorial,notconnect,682,auto,auto,--
255,DC-ACS5-2,Ethernet122/1/6,Isilon Access in Editorial,notconnect,899,auto,auto,--
256,DC-ACS5-2,Ethernet122/1/7,Isilon Access in Editorial,connected,682,full,1000,--
257,DC-ACS5-2,Ethernet122/1/8,Isilon Access in Editorial,connected,682,full,1000,--
258,DC-ACS5-2,Ethernet122/1/9,Isilon Access in Editorial,notconnect,682,auto,auto,--
259,DC-ACS5-2,Ethernet122/1/10,Isilon Access in Editorial,connected,899,full,1000,--
260,DC-ACS5-2,Ethernet122/1/11,Isilon Access in Editorial,connected,682,full,1000,--
261,DC-ACS5-2,Ethernet122/1/12,Isilon Access in Editorial,connected,899,full,1000,--
262,DC-ACS5-2,Ethernet122/1/13,PCoIP - INC03957261,connected,724,full,1000,--
263,DC-ACS5-2,Ethernet122/1/14,Isilon Access in Editorial,connected,682,full,1000,--
264,DC-ACS5-2,Ethernet122/1/15,Isilon Access in Editorial,connected,899,full,1000,--
265,DC-ACS5-2,Ethernet122/1/16,Isilon Access in Editorial,notconnect,682,auto,auto,--
